Event Date,Event Name,Grant,Site Type,Total Trees Planted,Tree Species,Location Type,Street Address,Street Suffix,City,State,Zip,Latitude,Longitude
03/12/1994,George Miner Elementary School,Hwy. 85 ,Public School,44,"Pistacia chinensis 14
Lagerstroemia X fauriei 'Tuscorora' 6
Alnus cordata 1
Celtis sinensis 9
Maytenus boaria 1
Prunus cerasifera 13
",,5629 Lean Ave,,San Jose,CA,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
,,,,,,,,,,,,37.2495309,-121.8186102
05/14/1994,Del Roble Elementary School ,Hwy. 85,Public School,69,"Alnus rhombifolia 4
Celtis sinensis 7
Fraxinus oxycarpa 28
Pinus canariensis 7
Prunus cerasifera 10
Rhus lancea 13
",Public School,5345 Avenida Almendros,,San Jose,CA,95123,37.25733,-121.836114
,,,,,,,,,,,,37.25733,-121.836114
,,,,,,,,,,,,37.25733,-121.836114
,,,,,,,,,,,,37.25733,-121.836114
